Name,TargetPaths
Gross Beat.fst,Effects\Creative\Time and Glitch;Effects\Vendors\Image-Line
HalfTime.fst,Effects\Creative\Time and Glitch
Hardcore.fst,Effects\Distortion\Aggressive
Harmless.fst,Generators\Synths\Digital;Generators\Vendors\Image-Line
Harmor.fst,Generators\Synths\Digital;Generators\Vendors\Image-Line
Hyper Chorus.fst,Effects\Modulation\Classic;Effects\Vendors\Image-Line
JUPITER-8.fst,Generators\Synths\Analog;Generators\Vendors\Arturia
Kepler Exo.fst,Generators\Synths\Analog;Generators\Vendors\Image-Line
Kepler.fst,Generators\Synths\Analog;Generators\Vendors\Image-Line
kHs 3-Band EQ.fst,Effects\EQ\Character;Effects\Vendors\Kilohearts
kHs Bitcrush.fst,Effects\Distortion\Lo-Fi;Effects\Vendors\Kilohearts
kHs Channel Mixer.fst,Effects\Utilities\Routing;Effects\Vendors\Kilohearts
kHs Chorus.fst,Effects\Modulation\Classic;Effects\Vendors\Kilohearts
kHs Clipper.fst,Effects\Dynamics\Clippers;Effects\Vendors\Kilohearts
kHs Comb Filter.fst,Effects\EQ\Surgical;Effects\Vendors\Kilohearts
kHs Compactor.fst,Effects\Dynamics\Compressors\Single-Band;Effects\Vendors\Kilohearts
kHs Compressor.fst,Effects\Dynamics\Compressors\Single-Band;Effects\Vendors\Kilohearts
kHs Delay.fst,Effects\Spatial\Delay;Effects\Vendors\Kilohearts
kHs Distortion.fst,Effects\Distortion\Aggressive;Effects\Vendors\Kilohearts
kHs Dual Delay.fst,Effects\Spatial\Delay;Effects\Vendors\Kilohearts
kHs Dynamics.fst,Effects\Dynamics\Compressors\Single-Band;Effects\Vendors\Kilohearts
kHs Ensemble.fst,Effects\Modulation\Classic;Effects\Vendors\Kilohearts
kHs Filter.fst,Effects\EQ\Surgical;Effects\Vendors\Kilohearts
kHs Flanger.fst,Effects\Modulation\Classic;Effects\Vendors\Kilohearts
kHs Formant Filter.fst,Effects\EQ\Surgical;Effects\Vendors\Kilohearts
kHs Frequency Shifter.fst,Effects\Modulation\Movement;Effects\Vendors\Kilohearts
kHs Gain.fst,Effects\Utilities\Tools;Effects\Vendors\Kilohearts
kHs Gate.fst,Effects\Dynamics\Gates;Effects\Vendors\Kilohearts
kHs Haas.fst,Effects\Spatial\Reverb;Effects\Vendors\Kilohearts
kHs Ladder Filter.fst,Effects\EQ\Surgical;Effects\Vendors\Kilohearts
kHs Limiter.fst,Effects\Dynamics\Limiters;Effects\Vendors\Kilohearts
kHs Nonlinear Filter.fst,Effects\EQ\Surgical;Effects\Vendors\Kilohearts
kHs Phase Distortion.fst,Effects\Distortion\Aggressive;Effects\Vendors\Kilohearts
kHs Phaser.fst,Effects\Modulation\Classic;Effects\Vendors\Kilohearts
